report_id,Data,Countries,Local,Industry Sector,Accident Level,Potential Accident Level,Genre,Employee or Third Party,Critical Risk,Description,description_clean,sif_proxy,is_exact_duplicate,is_repeated_description,has_label_conflict
R000378,2017-04-23,Country_01,Local_06,Metals,I,II,Male,Third Party,Projection,"Approx. 10:00 pm. Mr. Victor at the time he made a visual inspection of scaffolding, suffered a slight blow to the level of the right ear with the metallic extension of the chute of the conveyor chain.","approx. 10:00 pm. mr. victor at the time he made a visual inspection of scaffolding, suffered a slight blow to the level of the right ear with the metallic extension of the chute of the conveyor chain.",0,False,False,False
R000260,2016-11-29,Country_02,Local_08,Metals,II,III,Male,Employee,Others,"During the exchange of the shock-bearing housing, the employee used a sledgehammer to hit the pipe. At this stage of the activity the hammer hit the stepladder that was very close, coming to (hand tool) to be projected onto the left hand thumb, which was holding the piece.","during the exchange of the shock-bearing housing, the employee used a sledgehammer to hit the pipe. at this stage of the activity the hammer hit the stepladder that was very close, coming to (hand tool) to be projected onto the left hand thumb, which was holding the piece.",0,False,False,False
R000155,2016-06-17,Country_02,Local_08,Metals,IV,V,Male,Employee,Not applicable,"At approximately 5:45 pm, the operator Paulo (operator of the filters) informed the autoclave operator via radio of a leak on the side of the scruber. The autoclave III feed was stopped by the control and officials Georli and Renato initiated the procedures for closing the autoclave transfer valve for flash TQs. Soon after, there was a break in the chicken, projecting pulp hot and reaching three employees who were inside the room near the equipment.","at approximately 5:45 pm, the operator paulo (operator of the filters) informed the autoclave operator via radio of a leak on the side of the scruber. the autoclave iii feed was stopped by the control and officials georli and renato initiated the procedures for closing the autoclave transfer valve for flash tqs. soon after, there was a break in the chicken, projecting pulp hot and reaching three employees who were inside the room near the equipment.",1,False,False,False
R000369,2017-04-10,Country_02,Local_02,Mining,I,II,Male,Third Party,Chemical substances,"Employee to perform painting of the floor of the fuel tank area, he needed cleaning, and by pouring water-thinner on the floor, the bucket slipped out of his hand and the mixture projected onto his left shoulder and lower lip, causing redness and burning.","employee to perform painting of the floor of the fuel tank area, he needed cleaning, and by pouring water-thinner on the floor, the bucket slipped out of his hand and the mixture projected onto his left shoulder and lower lip, causing redness and burning.",0,False,False,False
R000055,2016-03-12,Country_02,Local_07,Mining,III,IV,Male,Employee,Others,"By manually moving a steel cabinet for disposal with the help of another employee, the operator had his finger pressed down between the wall and the cabinet causing injury.","by manually moving a steel cabinet for disposal with the help of another employee, the operator had his finger pressed down between the wall and the cabinet causing injury.",1,False,False,False
R000163,2016-07-02,Country_01,Local_03,Mining,V,V,Male,Third Party,Others,"In access 2 of level 3910, during the installation activity of hydraulic filling pipes of 4 ""diameter, when installing a section 80 m to a height of 5.6 m with reference to the floor, the master of hydraulic filling - accident - and his partner suffers an attrition of the right hand between the upper edge of the scoop lamp and the roof of the work generating the injury. At the time of the accident the employee used his rubber gloves.","in access 2 of level 3910, during the installation activity of hydraulic filling pipes of 4 ""diameter, when installing a section 80 m to a height of 5.6 m with reference to the floor, the master of hydraulic filling - accident - and his partner suffers an attrition of the right hand between the upper edge of the scoop lamp and the roof of the work generating the injury. at the time of the accident the employee used his rubber gloves.",1,False,False,False
R000104,2016-04-30,Country_02,Local_05,Metals,I,IV,Male,Employee,Pressed,"The employee performed the return of the load at the entrance of the debarking machine, while trying to align a cathode was pressed in his right hand.","the employee performed the return of the load at the entrance of the debarking machine, while trying to align a cathode was pressed in his right hand.",1,False,False,False
R000140,2016-06-08,Country_01,Local_04,Mining,I,III,Male,Third Party,Others,"At times that the workers: Technician and Mr. Orlando of Boltec 2 of Cia. wanted to pass the hand stacker by a sardinel, the technician pulled the hydraulic arm, while Mr. was pushing from the nail of the equipment, when reaching the trench the rim is tied and the team turns forward falling on the technician.","at times that the workers: technician and mr. orlando of boltec 2 of cia. wanted to pass the hand stacker by a sardinel, the technician pulled the hydraulic arm, while mr. was pushing from the nail of the equipment, when reaching the trench the rim is tied and the team turns forward falling on the technician.",0,False,False,False
R000209,2016-09-06,Country_02,Local_02,Mining,I,II,Male,Employee,Others,the check list of the area of ​​the survey the operator slipped in the foliage of the leucenas and fell.,the check list of the area of the survey the operator slipped in the foliage of the leucenas and fell.,0,False,False,False
R000194,2016-08-18,Country_01,Local_03,Mining,I,III,Male,Employee,Others,"At level 3450 access 4 A2, the operator of the Scissor # 200 performed the support of the crown, at which time a piece of rock (13cmx6cmx2cm; 54g) passes between the cocada of the support mesh, from a height of 1.60 meters, towards the platform of the team breaking into particles one of which reaches his right eye causing the injury.","at level 3450 access 4 a2, the operator of the scissor # 200 performed the support of the crown, at which time a piece of rock (13cmx6cmx2cm; 54g) passes between the cocada of the support mesh, from a height of 1.60 meters, towards the platform of the team breaking into particles one of which reaches his right eye causing the injury.",0,False,False,False
R000088,2016-04-11,Country_01,Local_01,Mining,I,IV,Male,Third Party,Others,"Once the RB machine is lifted (weight 7 tn) at 15 cm from the floor level, the accidently proceeds to pull the RB machine with a key of 5 tons (maximum cap), to lay it on the floor, after advancing 70 cm horizontally, the anchor bolt (pig tail type, 5/8 ""diameter) to which the key was hooked, it breaks transversely, and with the pulling force, this key is projected onto the injured person's left shoulder causing the injury. - The injured was 1.50 meters from the key. - At the time of the incident, the assistant was 5 meters away doing order and cleaning","once the rb machine is lifted (weight 7 tn) at 15 cm from the floor level, the accidently proceeds to pull the rb machine with a key of 5 tons (maximum cap), to lay it on the floor, after advancing 70 cm horizontally, the anchor bolt (pig tail type, 5/8 ""diameter) to which the key was hooked, it breaks transversely, and with the pulling force, this key is projected onto the injured person's left shoulder causing the injury. - the injured was 1.50 meters from the key. - at the time of the incident, the assistant was 5 meters away doing order and cleaning",1,False,False,False
R000107,2016-05-01,Country_01,Local_04,Mining,I,IV,Male,Third Party,Others,"When carrying out the maneuver to increase the HQ pipe line, the driller Wilder indicates the assistant Gilton introduce the inner pipe to the drill, the assistant introduces the inner pipe and places his hand in the box of the pipe, while the driller Without noticing, he moves the pipe over the assistant's hand and opens the chuck of the rotation unit, dropping the pipe, imprisoning the injured person's right hand causing the injury.","when carrying out the maneuver to increase the hq pipe line, the driller wilder indicates the assistant gilton introduce the inner pipe to the drill, the assistant introduces the inner pipe and places his hand in the box of the pipe, while the driller without noticing, he moves the pipe over the assistant's hand and opens the chuck of the rotation unit, dropping the pipe, imprisoning the injured person's right hand causing the injury.",1,False,False,False
R000310,2017-01-29,Country_01,Local_01,Mining,I,III,Male,Third Party,Vehicles and Mobile Equipment,"In circumstances that the tipper MV-01 of the EE Mceisa, moved of the Nv. 3120 to Nv. 3300, the operator sees a congestion of equipment in front of his unit in the Ramp 990 - at a distance of 80 meters. of access to the Nv. 3300, which is why he decides to get off the cab by turning off his vehicle, when suddenly he slides off the second rung that is 0.70 m from the ground, hitting the right forearm region against the fender and the same rung.","in circumstances that the tipper mv-01 of the ee mceisa, moved of the nv. 3120 to nv. 3300, the operator sees a congestion of equipment in front of his unit in the ramp 990 - at a distance of 80 meters. of access to the nv. 3300, which is why he decides to get off the cab by turning off his vehicle, when suddenly he slides off the second rung that is 0.70 m from the ground, hitting the right forearm region against the fender and the same rung.",0,False,False,False
R000391,2017-05-16,Country_02,Local_05,Metals,I,III,Female,Third Party (Remote),Cut,"The maid was handling a pipette for sample preparation for chemical analysis, while trying to place it on the three-way pear, the pipette came to break causing a superficial cut in her right hand.","the maid was handling a pipette for sample preparation for chemical analysis, while trying to place it on the three-way pear, the pipette came to break causing a superficial cut in her right hand.",0,False,False,False
R000010,2016-01-26,Country_01,Local_06,Metals,I,II,Male,Third Party,Chemical substances,"At the moment the forklift operator went to manipulate big bag of bioxide in section 70 and just in front of the ladder that leads to the area of ​​manual displacement, he splashed spent at the height of his forehead from a fissure in pipe G -069, subsequently spilling to his left eye. The collaborator went to the nearby eyewash for cleaning and immediately to the medical center.","at the moment the forklift operator went to manipulate big bag of bioxide in section 70 and just in front of the ladder that leads to the area of manual displacement, he splashed spent at the height of his forehead from a fissure in pipe g -069, subsequently spilling to his left eye. the collaborator went to the nearby eyewash for cleaning and immediately to the medical center.",0,False,False,False
R000141,2016-06-07,Country_01,Local_01,Mining,I,I,Male,Employee,Others,"In circumstances where the employee made the connection of the electric cable of the No. 08 jumbo, the operator feels discomfort in the face cleaning with the hand while using the rubber glove, generating a superficial laceration (small wound) on the left cheekbone.","in circumstances where the employee made the connection of the electric cable of the no. 08 jumbo, the operator feels discomfort in the face cleaning with the hand while using the rubber glove, generating a superficial laceration (small wound) on the left cheekbone.",0,False,False,False
R000005,2016-01-10,Country_01,Local_04,Mining,IV,IV,Male,Third Party,Others,"Approximately at 11:45 a.m. in circumstances that the mechanics Anthony (group leader), Eduardo and Eric Fernández-injured-the three of the Company IMPROMEC, performed the removal of the pulley of the motor of the pump 3015 in the ZAF of Marcy. 27 cm / Length: 33 cm / Weight: 70 kg), as it was locked proceed to heating the pulley to loosen it, it comes out and falls from a distance of 1.06 meters high and hits the instep of the right foot of the worker, causing the injury described.","approximately at 11:45 a.m. in circumstances that the mechanics anthony (group leader), eduardo and eric fernández-injured-the three of the company impromec, performed the removal of the pulley of the motor of the pump 3015 in the zaf of marcy. 27 cm / length: 33 cm / weight: 70 kg), as it was locked proceed to heating the pulley to loosen it, it comes out and falls from a distance of 1.06 meters high and hits the instep of the right foot of the worker, causing the injury described.",1,False,False,False
R000399,2017-05-23,Country_01,Local_03,Mining,I,IV,Male,Third Party,Others,"In circumstances that the worker was walking along the straight line of level 2790, step on a rock of approximately 10 cm x 5 cm, bending the right ankle, which caused the injury described. After the event occurred, the worker decided not to report the accident because he did not feel pain, at 3:30 p.m. approximately, he begins to feel discomfort when walking and progressive mild pain in the ankle, in that moment he communicates the event.","in circumstances that the worker was walking along the straight line of level 2790, step on a rock of approximately 10 cm x 5 cm, bending the right ankle, which caused the injury described. after the event occurred, the worker decided not to report the accident because he did not feel pain, at 3:30 p.m. approximately, he begins to feel discomfort when walking and progressive mild pain in the ankle, in that moment he communicates the event.",1,False,False,False
R000326,2017-02-13,Country_02,Local_08,Metals,II,III,Male,Employee,Pressed,"While preparing to mount polypropylene tubing, the employee pulled the pickup from the truck and positioned it in place, pressing the finger between the tube and the concrete wall.","while preparing to mount polypropylene tubing, the employee pulled the pickup from the truck and positioned it in place, pressing the finger between the tube and the concrete wall.",0,False,False,False
R000138,2016-06-05,Country_01,Local_03,Mining,I,III,Male,Employee,Others,"at level 2900, during the ore hauling activity with locomotive from the OP2 to the bines, at times when the convoy was traveling through the hopper of the OP1, the assistant motorist who was riding in the saddle holding the pole is struck weakly by a split set which was suspended in the HDP pipeline in the gable the work at 1.65 meters from the floor. At the time of the accident, the assistant was wearing all his safety equipment and was wearing a seatbelt. At the time of the accident the Split set only accompanied the movement path of the convoy.","at level 2900, during the ore hauling activity with locomotive from the op2 to the bines, at times when the convoy was traveling through the hopper of the op1, the assistant motorist who was riding in the saddle holding the pole is struck weakly by a split set which was suspended in the hdp pipeline in the gable the work at 1.65 meters from the floor. at the time of the accident, the assistant was wearing all his safety equipment and was wearing a seatbelt. at the time of the accident the split set only accompanied the movement path of the convoy.",0,False,False,False
R000047,2016-03-04,Country_01,Local_06,Metals,I,III,Male,Employee,Manual Tools,"The operator cleaned with spatula spear through one of the windows of the boiler, at that time by force action hit the window frame, causing injury to the little finger of the left hand, the operator had all EPP for boiler cleaning.","the operator cleaned with spatula spear through one of the windows of the boiler, at that time by force action hit the window frame, causing injury to the little finger of the left hand, the operator had all epp for boiler cleaning.",0,False,False,False
R000244,2016-10-24,Country_01,Local_01,Mining,I,IV,Male,Third Party,Others,"In circumstances that the mechanical technician and his work colleague arranged to accommodate the spare (Rollover) of the Small 02 on the platform of the cart on the floor, the two squat collaborators decide to push one on each side, at which time one edge of the Rollover imprisons the third finger of left hand against the handle of the cart on the right side, causing the wound on the third finger left hand. At the time of the accident both employees used their respective gloves.","in circumstances that the mechanical technician and his work colleague arranged to accommodate the spare (rollover) of the small 02 on the platform of the cart on the floor, the two squat collaborators decide to push one on each side, at which time one edge of the rollover imprisons the third finger of left hand against the handle of the cart on the right side, causing the wound on the third finger left hand. at the time of the accident both employees used their respective gloves.",1,False,False,False
R000164,2016-07-04,Country_01,Local_06,Metals,III,IV,Male,Third Party,Pressed,"At 11:00 a.m., Mr. Frank with the support of another mechanic, was preparing to place on the floor a metal part called the rear bridge of the forklift. At that moment the part moving part moves generating a blow to the middle finger of the left hand","at 11:00 a.m., mr. frank with the support of another mechanic, was preparing to place on the floor a metal part called the rear bridge of the forklift. at that moment the part moving part moves generating a blow to the middle finger of the left hand",1,False,False,False
R000084,2016-04-05,Country_01,Local_06,Metals,I,III,Male,Third Party,Fall prevention (same level),"The worker carried out the disassembly of 03 scaffolding bodies in the pulpomatic of the thickener D2251. the dismantling of the base of the scaffold, located approximately one meter high from the floor of the sump, the rivets of the anchor support of the platform were broken, causing the fall of the worker and impacting the right knee with the support that I am anchored in one of the horizontals of the scaffolding structure.","the worker carried out the disassembly of 03 scaffolding bodies in the pulpomatic of the thickener d2251. the dismantling of the base of the scaffold, located approximately one meter high from the floor of the sump, the rivets of the anchor support of the platform were broken, causing the fall of the worker and impacting the right knee with the support that i am anchored in one of the horizontals of the scaffolding structure.",0,False,False,False
R000065,2016-03-18,Country_02,Local_05,Metals,I,IV,Male,Employee,Fall prevention (same level),"The employee was clearing the liquid zinc pump from oven 04, when he stepped on the platform and became unbalanced with a twist in his left foot.","the employee was clearing the liquid zinc pump from oven 04, when he stepped on the platform and became unbalanced with a twist in his left foot.",1,False,False,False
R000334,2017-02-17,Country_01,Local_01,Mining,I,IV,Male,Third Party,Projection,"At the conclusion of the unloading of ore with the AMP-819 plate tipper, in the pit 01, the driver notices that a stretch of support mesh is stuck in the hopper hatch; then the driver gets off his equipment (with the hopper lifted) to remove with his hands this mesh, when generating force, fine particles of rock fall and one of them is impregnated in the eye of the injured. At the time of the incident, the injured person used his measuring glasses and did not have any surcharges.","at the conclusion of the unloading of ore with the amp-819 plate tipper, in the pit 01, the driver notices that a stretch of support mesh is stuck in the hopper hatch; then the driver gets off his equipment (with the hopper lifted) to remove with his hands this mesh, when generating force, fine particles of rock fall and one of them is impregnated in the eye of the injured. at the time of the incident, the injured person used his measuring glasses and did not have any surcharges.",1,False,False,False
R000096,2016-04-18,Country_01,Local_03,Mining,I,III,Male,Third Party,Others,"When moving a roll of electro-welded mesh of 95 kg of weight to place on the hopper of the truck, two operators pull the roll of mesh to bring it to the hopper of the truck at which time the imprisonment of the left hand of one of the operators between the mesh and the body of the hopper generating the described injury. At the time of the accident, both operators were wearing PVC-type safety gloves.","when moving a roll of electro-welded mesh of 95 kg of weight to place on the hopper of the truck, two operators pull the roll of mesh to bring it to the hopper of the truck at which time the imprisonment of the left hand of one of the operators between the mesh and the body of the hopper generating the described injury. at the time of the accident, both operators were wearing pvc-type safety gloves.",0,False,False,False
R000009,2016-01-19,Country_02,Local_02,Mining,I,IV,Male,Third Party (Remote),Others,"Employee was sitting in the resting area at level 326 (raise bore), when he suffered sudden illness, falling and suffering excoriation on the face.","employee was sitting in the resting area at level 326 (raise bore), when he suffered sudden illness, falling and suffering excoriation on the face.",1,False,False,False
R000361,2017-03-25,Country_03,Local_10,Others,I,I,Male,Employee,Others,"The technician was doing the magnetometric survey when he stepped on a thorn. His reaction was to immediately retreat, losing his balance and so the magnetometer's antenna broke.","the technician was doing the magnetometric survey when he stepped on a thorn. his reaction was to immediately retreat, losing his balance and so the magnetometer's antenna broke.",0,False,False,False
R000376,2017-04-23,Country_01,Local_04,Mining,I,III,Male,Third Party,Others,"In moments that Mr. William carried out the inspection of the cut of the Block 781 Level 1850 OB6A, so that the loading platform could be realized, in instants that observed the drills positive radial ones that were covered and shotcreteados, he hears a noise from the upper part of the pit (detachments of banks at the center of the pit), to which Mr. William goes back to leave work, but his metatarsal boots makes contact with a rock that was on the floor which causes it to lose balance and stumble on the gable.","in moments that mr. william carried out the inspection of the cut of the block 781 level 1850 ob6a, so that the loading platform could be realized, in instants that observed the drills positive radial ones that were covered and shotcreteados, he hears a noise from the upper part of the pit (detachments of banks at the center of the pit), to which mr. william goes back to leave work, but his metatarsal boots makes contact with a rock that was on the floor which causes it to lose balance and stumble on the gable.",0,False,False,False
R000101,2016-04-26,Country_02,Local_05,Metals,I,II,Female,Third Party,Cut,The injured woman performed cleaning and when cleaning the sink of the collection room pierced the finger with a fragment of glass.,the injured woman performed cleaning and when cleaning the sink of the collection room pierced the finger with a fragment of glass.,0,False,False,False
R000265,2016-12-08,Country_01,Local_01,Mining,I,IV,Male,Employee,Suspended Loads,"At times when four mechanics performed the removal of a (1TM) engine on a positive slope using a key and a tyrfor, at the time that the 1st welder tightened the key (12 Kg of weight) when pulling the chain the eyebolt that held the Click on the roof of the work is broken transversely causing the fall of the key hitting the helmet of the welder mechanic causing cervical contracture. The tirfor was used during the activity as a second protection to prevent the engine from falling.","at times when four mechanics performed the removal of a (1tm) engine on a positive slope using a key and a tyrfor, at the time that the 1st welder tightened the key (12 kg of weight) when pulling the chain the eyebolt that held the click on the roof of the work is broken transversely causing the fall of the key hitting the helmet of the welder mechanic causing cervical contracture. the tirfor was used during the activity as a second protection to prevent the engine from falling.",1,False,False,False
